BP_RS01205	BP_RS01205
BP_RS01215	BP_RS01215
BP_RS01220	BP_RS01220
BP_RS01225	pcnB
BP_RS01230	BP_RS01230
BP_RS01235	hda
BP_RS01240	purM
BP_RS01245	miaA
BP_RS01250	mutL
BP_RS01255	BP_RS01255
BP_RS01260	BP_RS01260
BP_RS01265	BP_RS01265
BP_RS01270	fumC
BP_RS01275	BP_RS01275
BP_RS01280	BP_RS01280
BP_RS01285	BP_RS01285
BP_RS01290	ggt
BP_RS01295	BP_RS01295
BP_RS01300	BP_RS01300
BP_RS01310	BP_RS01310
BP_RS01315	BP_RS01315
BP_RS01320	BP_RS01320
BP_RS01325	BP_RS01325
BP_RS01330	cydB
BP_RS01335	cydX
BP_RS01340	cydD
BP_RS01345	cydC
BP_RS01350	BP_RS01350
BP_RS01360	BP_RS01360
BP_RS01370	BP_RS01370
	
BP_RS19495	BP_RS19495
BP_RS01390	BP_RS01390
BP_RS01395	BP_RS01395
BP_RS01400	BP_RS01400
BP_RS01405	BP_RS01405
BP_RS01410	BP_RS01410
BP_RS01415	petA
BP_RS01420	mscL
BP_RS01425	BP_RS01425
BP_RS01430	BP_RS01430
BP_RS01435	BP_RS01435
BP_RS01440	BP_RS01440
BP_RS01445	BP_RS01445
BP_RS01450	BP_RS01450
BP_RS01455	BP_RS01455
BP_RS01460	BP_RS01460
BP_RS01465	BP_RS01465
BP_RS01470	BP_RS01470
BP_RS01475	ilvD
BP_RS01480	BP_RS01480
BP_RS01485	BP_RS01485
BP_RS01495	BP_RS01495
BP_RS01500	BP_RS01500
BP_RS01505	BP_RS01505
BP_RS01510	BP_RS01510
BP_RS01515	BP_RS01515
BP_RS01520	BP_RS01520
BP_RS01525	BP_RS01525
BP_RS01530	BP_RS01530
BP_RS01535	BP_RS01535
BP_RS01540	BP_RS01540
BP_RS01545	BP_RS01545
BP_RS01550	BP_RS01550
BP_RS01565	BP_RS01565
BP_RS01570	BP_RS01570
BP_RS01575	BP_RS01575
BP_RS01580	BP_RS01580
BP_RS01585	BP_RS01585
BP_RS01590	BP_RS01590
BP_RS01595	hemL
